python : RiskManager initialized with 18 rules
En línea: 1 Carácter: 1
+ python tools/run_calibration_2B.py --mode quick --max-combinations 3  ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (RiskManager initialized with 18 rules:St 
   ring) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
2025-12-21 22:18:13,299 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,299 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,300 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,300 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,300 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,300 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,300 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,300 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,300 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,300 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,301 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,301 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,301 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,301 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,301 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,301 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,301 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,302 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,302 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,302 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,302 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,303 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,303 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,303 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,303 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,304 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,304 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,304 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,304 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,304 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,304 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,305 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,305 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,305 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,305 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,305 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,305 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,305 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,305 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,306 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,306 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,306 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,306 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,307 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,307 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,307 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,308 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,308 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,308 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,308 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,309 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,309 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,309 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,309 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
